User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Age,Gender,Device,Plan Duration,Total Watch Time
1,Basic,5.99,2021-10-12,2022-12-21,29,Female,Desktop,90,681
2,Premium,20.99,2023-05-06,2023-07-27,30,Female,Smart TV,90,450
3,Premium,20.99,2022-11-25,2023-03-16,34,Male,Mobile,90,957
4,Standard,16.49,2023-06-23,2023-07-09,26,Other,Mobile,90,42
5,Basic,5.99,2021-09-13,2023-04-06,33,Female,Laptop,60,37
6,Standard,16.49,2022-11-08,2023-04-21,46,Male,Smart TV,60,363
7,Standard,16.49,2021-09-28,2023-01-14,27,Female,Laptop,60,65
8,Basic,5.99,2022-05-09,2022-12-13,25,Other,Mobile,30,366
9,Premium,20.99,2023-03-09,2023-07-01,61,Female,Smart TV,60,32
10,Standard,16.49,2023-04-09,2023-04-18,25,Other,Mobile,30,173
11,Premium,20.99,2023-06-26,2023-07-26,57,Female,Desktop,30,175
12,Basic,5.99,2022-06-22,2022-09-06,68,Other,Mobile,60,541
13,Premium,20.99,2023-02-06,2023-07-17,30,Male,Tablet,30,62
14,Premium,20.99,2022-01-22,2023-03-21,50,Male,Smart TV,60,499
15,Standard,16.49,2022-01-02,2022-05-17,28,Male,Desktop,90,220
16,Standard,16.49,2021-12-26,2022-02-22,30,Female,Smart TV,90,213
17,Standard,16.49,2022-01-12,2022-02-11,38,Male,Laptop,90,3099
18,Standard,16.49,2023-06-23,2023-07-19,18,Female,Mobile,60,627
19,Standard,16.49,2022-08-04,2023-06-30,29,Female,Tablet,60,325
20,Standard,16.49,2022-09-22,2023-04-15,21,Other,Mobile,60,658
21,Standard,16.49,2021-11-09,2022-12-10,42,Female,Laptop,90,225
22,Basic,5.99,2023-01-12,2023-02-07,23,Male,Mobile,30,76
23,Premium,20.99,2023-04-07,2023-06-13,50,Other,Tablet,60,52
24,Premium,20.99,2022-09-09,2023-02-25,62,Female,Tablet,30,57
25,Premium,20.99,2022-12-07,2023-05-24,58,Male,Mobile,30,368
26,Basic,5.99,2021-12-03,2022-07-17,41,Male,Mobile,30,226
27,Standard,16.49,2022-10-06,2023-04-18,74,Male,Laptop,60,527
28,Premium,20.99,2022-07-10,2023-05-26,58,Female,Laptop,60,751
29,Standard,16.49,2021-12-14,2023-02-28,32,Male,Mobile,90,614
30,Premium,20.99,2021-11-25,2022-07-22,60,Male,Mobile,60,20
31,Standard,16.49,2023-02-24,2023-04-28,28,Male,Smart TV,90,666
32,Standard,16.49,2022-12-24,2023-05-20,59,Female,Smart TV,30,73
33,Standard,16.49,2022-02-12,2023-01-31,51,Male,Mobile,90,412
34,Standard,16.49,2022-09-15,2022-12-04,19,Other,Smart TV,60,473
35,Basic,5.99,2023-06-14,2023-07-22,47,Male,Smart TV,60,1251
36,Standard,16.49,2022-12-10,2023-01-16,35,Male,Smart TV,30,1007
37,Standard,16.49,2023-04-10,2023-05-26,37,Female,Laptop,30,10
38,Standard,16.49,2021-12-17,2023-05-08,28,Other,Smart TV,30,53
39,Premium,20.99,2023-06-23,2023-07-12,33,Female,Mobile,30,36
40,Basic,5.99,2023-02-27,2023-07-14,33,Female,Smart TV,60,26
41,Premium,20.99,2022-07-07,2022-12-13,45,Male,Tablet,90,58
42,Premium,20.99,2023-05-19,2023-05-22,37,Male,Smart TV,60,58
43,Standard,16.49,2022-03-19,2023-05-18,55,Female,Smart TV,60,0
44,Premium,20.99,2023-01-25,2023-01-30,53,Male,Laptop,60,368
45,Premium,20.99,2023-05-10,2023-06-19,31,Female,Smart TV,90,20
46,Premium,20.99,2022-05-24,2023-06-01,46,Female,Tablet,90,74
47,Standard,16.49,2023-06-26,2023-07-07,29,Female,Smart TV,30,518
48,Basic,5.99,2022-06-26,2023-05-04,24,Male,Smart TV,60,997
49,Basic,5.99,2023-06-14,2023-07-26,13,Male,Mobile,90,42
50,Premium,20.99,2022-04-01,2022-04-07,52,Other,Tablet,30,81
51,Standard,16.49,2023-03-03,2023-07-22,36,Male,Tablet,60,1168
52,Basic,5.99,2023-04-06,2023-06-24,53,Female,Smart TV,60,133
53,Basic,5.99,2023-02-22,2023-05-30,27,Male,Laptop,30,108
54,Premium,20.99,2022-05-21,2022-07-31,26,Female,Tablet,60,618
55,Standard,16.49,2021-08-20,2023-05-21,85,Female,Mobile,90,55
56,Standard,16.49,2023-04-18,2023-05-07,46,Male,Mobile,30,421
57,Premium,20.99,2022-02-02,2023-03-05,19,Female,Smart TV,30,79
